### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,168,392,-23.8213,0,255,0,0,100,1,1
1,508,787,-103.686,0,255,0,0,100,1,1
2,962,400,92.9489,0,255,0,0,100,1,1
3,69,701,60.2235,0,255,0,0,100,1,1
4,811,434,-45.037,0,255,0,0,100,1,1
5,467,658,136.841,0,255,0,0,100,1,1
6,86,352,138.978,0,255,0,0,100,1,1
7,397,441,-8.36978,0,255,0,0,100,1,1
8,517,432,-100.558,0,255,0,0,100,1,1
9,734,357,107.16,0,255,0,0,100,1,1
10,668,340,72.771,0,255,0,0,100,1,1
11,196,301,-60.2813,0,255,0,0,100,1,1
12,906,701,121.885,0,255,0,0,100,1,1
13,274,918,-132.13,0,255,0,0,100,1,1
14,885,308,35.3205,0,255,0,0,100,1,1
15,674,353,-0.303607,0,255,0,0,100,1,1
16,441,265,128.256,0,255,0,0,100,1,1
17,821,234,54.2899,0,255,0,0,100,1,1
18,76,278,-172.077,0,255,0,0,100,1,1
19,287,687,-97.0067,0,255,0,0,100,1,1
20,600,568,37.6773,0,255,0,0,100,1,1
21,167,706,109.545,0,255,0,0,100,1,1
22,344,96,-68.0797,0,255,0,0,100,1,1
23,609,402,-178.85,0,255,0,0,100,1,1
24,848,708,11.8042,0,255,0,0,100,1,1
25,851,442,-84.8667,0,255,0,0,100,1,1
26,485,65,-114.008,0,255,0,0,100,1,1
27,814,770,67.7436,0,255,0,0,100,1,1
28,919,640,-171.78,0,255,0,0,100,1,1
29,278,613,111.203,0,255,0,0,100,1,1
30,887,283,173.501,0,255,0,0,100,1,1
31,411,768,-33.0122,0,255,0,0,100,1,1
32,892,264,-168.802,0,255,0,0,100,1,1
33,677,228,-94.0397,0,255,0,0,100,1,1
34,180,814,-83.2028,0,255,0,0,100,1,1
35,145,229,14.3009,0,255,0,0,100,1,1
36,196,372,129.906,0,255,0,0,100,1,1
37,108,484,-44.3505,0,255,0,0,100,1,1
38,322,826,-77.0828,0,255,0,0,100,1,1
39,331,67,42.4991,0,255,0,0,100,1,1
40,194,283,-146.159,0,255,0,0,100,1,1
41,574,891,74.5519,0,255,0,0,100,1,1
42,274,297,168.894,0,255,0,0,100,1,1
43,316,764,158.241,0,255,0,0,100,1,1
44,856,331,32.885,0,255,0,0,100,1,1
45,508,769,38.954,0,255,0,0,100,1,1
46,50,452,34.3526,0,255,0,0,100,1,1
47,638,581,90.6951,0,255,0,0,100,1,1
48,575,329,-43.381,0,255,0,0,100,1,1
49,626,640,-54.0638,0,255,0,0,100,1,1
50,649,866,-111.671,0,255,0,0,100,1,1
51,625,507,52.748,0,255,0,0,100,1,1
52,674,656,124.073,0,255,0,0,100,1,1
53,764,718,157.654,0,255,0,0,100,1,1
54,653,236,91.9357,0,255,0,0,100,1,1
55,264,423,23.9231,0,255,0,0,100,1,1
56,141,652,-122.013,0,255,0,0,100,1,1
57,412,178,-158.61,0,255,0,0,100,1,1
58,567,375,128.524,0,255,0,0,100,1,1
59,356,108,-110.31,0,255,0,0,100,1,1
60,293,158,19.2301,0,255,0,0,100,1,1
61,777,807,143.22,0,255,0,0,100,1,1
62,825,434,-74.9064,0,255,0,0,100,1,1
63,506,308,-28.0801,0,255,0,0,100,1,1
64,399,124,134.605,0,255,0,0,100,1,1
65,209,244,-102.179,0,255,0,0,100,1,1
66,936,606,133.558,0,255,0,0,100,1,1
67,504,218,-41.0251,0,255,0,0,100,1,1
68,254,171,-66.5857,0,255,0,0,100,1,1
69,184,432,-159.059,0,255,0,0,100,1,1
70,536,238,164.587,0,255,0,0,100,1,1
71,486,270,73.0986,0,255,0,0,100,1,1
72,241,585,-87.1131,0,255,0,0,100,1,1
73,559,136,-36.0376,0,255,0,0,100,1,1
74,100,665,-100.608,0,255,0,0,100,1,1
75,188,393,-26.6309,0,255,0,0,100,1,1
76,462,505,75.1648,0,255,0,0,100,1,1
77,509,323,-46.4946,0,255,0,0,100,1,1
78,816,549,-11.6082,0,255,0,0,100,1,1
79,253,487,36.7013,0,255,0,0,100,1,1
80,63,475,-127.488,0,255,0,0,100,1,1
81,617,668,-159.98,0,255,0,0,100,1,1
82,535,948,150.919,0,255,0,0,100,1,1
83,508,294,107.317,0,255,0,0,100,1,1
84,871,411,133.835,0,255,0,0,100,1,1
85,482,913,32.66,0,255,0,0,100,1,1
86,698,282,-19.6841,0,255,0,0,100,1,1
87,602,379,83.2814,0,255,0,0,100,1,1
88,625,286,-150.718,0,255,0,0,100,1,1
89,92,338,115.771,0,255,0,0,100,1,1
90,468,728,-51.3734,0,255,0,0,100,1,1
91,332,693,-10.9867,0,255,0,0,100,1,1
92,265,694,80.5245,0,255,0,0,100,1,1
93,524,58,-19.2918,0,255,0,0,100,1,1
94,438,193,-27.1282,0,255,0,0,100,1,1
95,317,402,-40.0789,0,255,0,0,100,1,1
96,157,356,108.245,0,255,0,0,100,1,1
97,936,627,177.428,0,255,0,0,100,1,1
98,649,118,176.774,0,255,0,0,100,1,1
99,731,522,-82.0141,0,255,0,0,100,1,1
100,460,253,-1.27799,0,255,0,0,100,1,1
101,695,313,-19.5113,0,255,0,0,100,1,1
102,697,80,-126.492,0,255,0,0,100,1,1
103,721,215,65.0383,0,255,0,0,100,1,1
104,438,317,-14.8165,0,255,0,0,100,1,1
105,412,213,77.0367,0,255,0,0,100,1,1
106,869,506,-136.677,0,255,0,0,100,1,1
107,705,654,138.303,0,255,0,0,100,1,1
108,543,220,-84.2169,0,255,0,0,100,1,1
109,491,162,-22.9898,0,255,0,0,100,1,1
110,516,537,-166.916,0,255,0,0,100,1,1
