### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,84,86,90.2447,0,255,0,0,100,1,1
1,868,360,126.173,0,255,0,0,100,1,1
2,502,320,20.6437,0,255,0,0,100,1,1
3,946,681,44.7385,0,255,0,0,100,1,1
4,708,578,-7.89257,0,255,0,0,100,1,1
5,1219,83,-56.9371,0,255,0,0,100,1,1
6,973,518,62.8182,0,255,0,0,100,1,1
7,731,432,96.1899,0,255,0,0,100,1,1
8,536,269,45.0977,0,255,0,0,100,1,1
9,287,108,3.78948,0,255,0,0,100,1,1
10,1181,163,-81.6821,0,255,0,0,100,1,1
11,847,523,-166.153,0,255,0,0,100,1,1
12,1266,515,-140.904,0,255,0,0,100,1,1
13,118,445,174.81,0,255,0,0,100,1,1
14,951,124,-144.8,0,255,0,0,100,1,1
15,1028,553,62.4402,0,255,0,0,100,1,1
16,1154,260,-15.8546,0,255,0,0,100,1,1
17,201,706,-176.264,0,255,0,0,100,1,1
18,1035,738,148.926,0,255,0,0,100,1,1
19,571,357,-59.9713,0,255,0,0,100,1,1
20,1194,695,-159.693,0,255,0,0,100,1,1
21,1270,153,-173.08,0,255,0,0,100,1,1
22,43,642,-165.317,0,255,0,0,100,1,1
23,410,75,-100.683,0,255,0,0,100,1,1
24,442,287,163.034,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,795,703,1
1,878,92,1
2,630,71,1
3,662,654,1
4,75,415,1
5,1169,726,1
6,623,502,1
7,586,166,1
8,986,667,1
9,749,227,1
10,555,310,1
11,1223,641,1
12,934,237,1
13,1227,376,1
14,1203,154,1
15,724,419,1
16,1148,657,1
17,643,577,1
18,711,334,1
19,646,429,1
20,685,725,1
21,440,272,1
22,250,668,1
23,847,305,1
24,252,360,1
25,116,294,1
26,56,685,1
27,1142,75,1
28,620,717,1
29,1193,539,1
30,357,54,1
31,389,387,1
32,900,464,1
33,868,654,1
34,371,721,1
35,1041,247,1
36,983,114,1
37,986,277,1
38,736,143,1
39,286,457,1
40,722,531,1
41,134,372,1
42,748,742,1
43,59,758,1
44,481,212,1
45,501,55,1
46,1309,669,1
47,114,99,1
48,677,144,1
49,335,654,1
50,1075,342,1
51,908,384,1
52,196,52,1
53,461,502,1
54,1275,578,1
55,568,86,1
56,346,528,1
57,1141,363,1
58,938,759,1
59,1000,499,1
60,408,168,1
61,192,748,1
62,625,366,1
63,1242,313,1
64,611,230,1
65,316,391,1
66,354,468,1
67,1278,263,1
68,493,338,1
69,495,449,1
70,507,749,1
71,133,207,1
72,1293,357,1
73,45,39,1
74,1101,242,1
75,1021,731,1
76,190,114,1
77,840,406,1
78,745,632,1
79,847,219,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
