### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,84,86,90.1746,0,255,0,0,100,1,1
1,508,235,4.58802,0,255,0,0,100,1,1
2,556,402,51.5252,0,255,0,0,100,1,1
3,733,628,-76.9561,0,255,0,0,100,1,1
4,96,598,39.5284,0,255,0,0,100,1,1
5,848,616,70.3626,0,255,0,0,100,1,1
6,604,509,-128.589,0,255,0,0,100,1,1
7,382,492,123.911,0,255,0,0,100,1,1
8,1123,503,-31.0206,0,255,0,0,100,1,1
9,1252,348,-125.018,0,255,0,0,100,1,1
10,821,193,159.325,0,255,0,0,100,1,1
11,1127,74,16.268,0,255,0,0,100,1,1
12,175,569,38.9913,0,255,0,0,100,1,1
13,705,193,133.744,0,255,0,0,100,1,1
14,1174,750,81.6633,0,255,0,0,100,1,1
15,230,733,-44.6693,0,255,0,0,100,1,1
16,657,721,151.656,0,255,0,0,100,1,1
17,930,638,72.2567,0,255,0,0,100,1,1
18,755,427,140.089,0,255,0,0,100,1,1
19,918,432,-16.9434,0,255,0,0,100,1,1
20,656,274,85.0261,0,255,0,0,100,1,1
21,161,428,-149.992,0,255,0,0,100,1,1
22,909,528,137.62,0,255,0,0,100,1,1
23,1073,255,60.0704,0,255,0,0,100,1,1
24,338,103,5.21284,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,795,703,1
1,878,92,1
2,429,325,1
3,1048,364,1
4,1298,343,1
5,1025,514,1
6,238,508,1
7,89,145,1
8,662,197,1
9,442,419,1
10,598,709,1
11,982,220,1
12,1292,643,1
13,672,440,1
14,127,756,1
15,1238,280,1
16,335,580,1
17,1293,495,1
18,439,228,1
19,71,44,1
20,43,653,1
21,1098,499,1
22,1223,516,1
23,677,46,1
24,684,563,1
25,578,53,1
26,922,276,1
27,669,370,1
28,106,636,1
29,232,631,1
30,187,743,1
31,1075,235,1
32,835,471,1
33,1088,679,1
34,192,82,1
35,872,327,1
36,114,466,1
37,336,493,1
38,1189,461,1
39,281,153,1
40,667,681,1
41,751,394,1
42,851,732,1
43,1090,85,1
44,428,694,1
45,635,301,1
46,582,157,1
47,260,428,1
48,366,366,1
49,964,704,1
50,928,503,1
51,482,136,1
52,365,660,1
53,161,390,1
54,155,247,1
55,833,281,1
56,1085,144,1
57,1304,281,1
58,988,70,1
59,1146,376,1
60,1186,626,1
61,1185,229,1
62,563,380,1
63,491,479,1
64,1145,135,1
65,496,271,1
66,193,683,1
67,1157,708,1
68,681,139,1
69,1214,144,1
70,342,81,1
71,249,366,1
72,1112,294,1
73,1218,367,1
74,828,392,1
75,1010,310,1
76,728,485,1
77,380,439,1
78,93,263,1
79,1079,558,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
