### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,84,86,89.8901,0,255,0,0,100,1,1
1,309,630,-166.181,0,255,0,0,100,1,1
2,1019,727,70.6366,0,255,0,0,100,1,1
3,876,655,-103.121,0,255,0,0,100,1,1
4,475,168,-172.051,0,255,0,0,100,1,1
5,222,139,-0.956464,0,255,0,0,100,1,1
6,974,289,30.4762,0,255,0,0,100,1,1
7,1160,81,-85.4149,0,255,0,0,100,1,1
8,28,405,65.0958,0,255,0,0,100,1,1
9,631,735,80.3181,0,255,0,0,100,1,1
10,617,60,-72.7402,0,255,0,0,100,1,1
11,303,145,133.031,0,255,0,0,100,1,1
12,942,487,33.706,0,255,0,0,100,1,1
13,160,678,82.1303,0,255,0,0,100,1,1
14,1272,540,-161.521,0,255,0,0,100,1,1
15,1182,623,-31.2801,0,255,0,0,100,1,1
16,982,88,148.677,0,255,0,0,100,1,1
17,821,696,47.7638,0,255,0,0,100,1,1
18,1197,71,-109.073,0,255,0,0,100,1,1
19,875,408,96.5147,0,255,0,0,100,1,1
20,680,20,-99.8619,0,255,0,0,100,1,1
21,319,579,-128.766,0,255,0,0,100,1,1
22,943,632,174.664,0,255,0,0,100,1,1
23,506,89,68.3467,0,255,0,0,100,1,1
24,830,119,89.7843,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,795,703,1
1,878,92,1
2,1202,331,1
3,40,310,1
4,1287,492,1
5,608,457,1
6,728,71,1
7,1101,666,1
8,1074,552,1
9,846,224,1
10,466,759,1
11,148,709,1
12,1002,133,1
13,344,572,1
14,688,214,1
15,1259,233,1
16,671,329,1
17,139,273,1
18,1244,714,1
19,511,54,1
20,64,55,1
21,1305,286,1
22,740,381,1
23,1182,529,1
24,319,478,1
25,1038,686,1
26,350,95,1
27,438,246,1
28,365,406,1
29,105,578,1
30,1259,629,1
31,861,702,1
32,136,106,1
33,829,475,1
34,694,470,1
35,223,406,1
36,660,68,1
37,1088,251,1
38,889,551,1
39,966,282,1
40,52,742,1
41,1095,342,1
42,665,130,1
43,210,622,1
44,1131,94,1
45,530,150,1
46,608,533,1
47,1202,205,1
48,513,701,1
49,216,717,1
50,262,584,1
51,45,548,1
52,571,85,1
53,313,367,1
54,1210,118,1
55,281,525,1
56,500,332,1
57,952,746,1
58,352,683,1
59,715,575,1
60,421,49,1
61,184,49,1
62,1262,369,1
63,1195,58,1
64,1289,168,1
65,591,208,1
66,891,327,1
67,191,155,1
68,71,362,1
69,112,406,1
70,653,633,1
71,385,347,1
72,725,750,1
73,62,634,1
74,592,752,1
75,1276,82,1
76,509,213,1
77,465,403,1
78,446,122,1
79,569,338,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
