### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,84,86,89.7734,0,255,0,0,100,1,1
1,572,453,-10.5447,0,255,0,0,100,1,1
2,537,100,30.5085,0,255,0,0,100,1,1
3,405,174,159.946,0,255,0,0,100,1,1
4,185,707,64.7595,0,255,0,0,100,1,1
5,504,309,-88.4366,0,255,0,0,100,1,1
6,1074,138,75.7,0,255,0,0,100,1,1
7,728,515,100.272,0,255,0,0,100,1,1
8,267,14,-124.227,0,255,0,0,100,1,1
9,937,44,-65.178,0,255,0,0,100,1,1
10,291,384,-21.4116,0,255,0,0,100,1,1
11,885,106,-143.533,0,255,0,0,100,1,1
12,638,751,153.493,0,255,0,0,100,1,1
13,978,288,-135.429,0,255,0,0,100,1,1
14,1275,738,122.451,0,255,0,0,100,1,1
15,420,136,102.727,0,255,0,0,100,1,1
16,567,358,144.867,0,255,0,0,100,1,1
17,629,659,-30.2966,0,255,0,0,100,1,1
18,441,518,138.864,0,255,0,0,100,1,1
19,1208,99,62.0145,0,255,0,0,100,1,1
20,1253,262,-179.525,0,255,0,0,100,1,1
21,1269,219,76.8102,0,255,0,0,100,1,1
22,222,492,-176.168,0,255,0,0,100,1,1
23,179,663,-130.949,0,255,0,0,100,1,1
24,275,452,77.1851,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,795,703,1
1,878,92,1
2,1219,715,1
3,976,654,1
4,717,611,1
5,1004,480,1
6,62,574,1
7,299,373,1
8,1073,723,1
9,911,499,1
10,345,641,1
11,1050,223,1
12,597,418,1
13,300,98,1
14,1197,297,1
15,69,663,1
16,400,500,1
17,596,344,1
18,976,240,1
19,150,355,1
20,1072,340,1
21,671,186,1
22,82,274,1
23,351,562,1
24,49,119,1
25,903,286,1
26,705,133,1
27,1094,68,1
28,223,760,1
29,185,592,1
30,195,185,1
31,497,504,1
32,1216,60,1
33,160,659,1
34,1134,658,1
35,568,716,1
36,1252,181,1
37,708,528,1
38,1293,107,1
39,299,160,1
40,467,189,1
41,113,736,1
42,576,42,1
43,448,705,1
44,697,67,1
45,1050,134,1
46,946,720,1
47,86,186,1
48,138,417,1
49,992,67,1
50,1240,510,1
51,1257,309,1
52,625,472,1
53,323,474,1
54,242,355,1
55,1072,655,1
56,838,356,1
57,748,741,1
58,67,57,1
59,835,476,1
60,664,360,1
61,207,408,1
62,295,530,1
63,571,173,1
64,520,107,1
65,241,140,1
66,114,103,1
67,446,307,1
68,537,415,1
69,449,402,1
70,210,42,1
71,1162,739,1
72,174,267,1
73,507,277,1
74,278,689,1
75,1261,665,1
76,640,575,1
77,357,421,1
78,898,411,1
79,1114,132,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
