### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,84,86,89.7134,0,255,0,0,100,1,1
1,570,367,-31.0046,0,255,0,0,100,1,1
2,719,73,-29.5146,0,255,0,0,100,1,1
3,535,745,41.5098,0,255,0,0,100,1,1
4,910,18,-177.064,0,255,0,0,100,1,1
5,685,747,-164.97,0,255,0,0,100,1,1
6,1000,720,94.7427,0,255,0,0,100,1,1
7,40,187,42.0734,0,255,0,0,100,1,1
8,1278,61,79.8394,0,255,0,0,100,1,1
9,1131,72,148.266,0,255,0,0,100,1,1
10,575,89,-3.73821,0,255,0,0,100,1,1
11,909,673,-9.94532,0,255,0,0,100,1,1
12,361,163,-99.1107,0,255,0,0,100,1,1
13,319,167,15.7484,0,255,0,0,100,1,1
14,824,672,136.674,0,255,0,0,100,1,1
15,200,436,-21.6892,0,255,0,0,100,1,1
16,1091,363,-144.33,0,255,0,0,100,1,1
17,542,442,-62.7571,0,255,0,0,100,1,1
18,677,436,107.719,0,255,0,0,100,1,1
19,403,299,-58.4613,0,255,0,0,100,1,1
20,1217,42,-131.611,0,255,0,0,100,1,1
21,486,148,168.832,0,255,0,0,100,1,1
22,837,252,-143.101,0,255,0,0,100,1,1
23,622,395,-153.13,0,255,0,0,100,1,1
24,414,697,-31.6228,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,795,703,1
1,878,92,1
2,691,498,1
3,66,447,1
4,751,387,1
5,422,149,1
6,409,359,1
7,573,132,1
8,700,94,1
9,389,521,1
10,297,164,1
11,84,663,1
12,709,166,1
13,281,494,1
14,178,272,1
15,658,335,1
16,1184,641,1
17,374,617,1
18,993,743,1
19,1239,459,1
20,322,73,1
21,761,618,1
22,930,504,1
23,1064,56,1
24,1144,117,1
25,96,202,1
26,1067,378,1
27,451,76,1
28,1265,706,1
29,1250,104,1
30,251,411,1
31,358,425,1
32,1174,538,1
33,921,281,1
34,634,50,1
35,863,746,1
36,532,237,1
37,612,395,1
38,1179,233,1
39,1188,47,1
40,1198,155,1
41,972,50,1
42,1025,298,1
43,324,692,1
44,641,651,1
45,201,667,1
46,843,560,1
47,721,742,1
48,1124,705,1
49,752,447,1
50,477,199,1
51,257,70,1
52,1282,615,1
53,833,220,1
54,1292,51,1
55,1273,376,1
56,546,43,1
57,609,730,1
58,480,375,1
59,192,148,1
60,64,540,1
61,98,50,1
62,226,548,1
63,447,269,1
64,985,548,1
65,1077,662,1
66,572,337,1
67,142,760,1
68,1094,552,1
69,880,445,1
70,1032,231,1
71,368,761,1
72,495,135,1
73,484,470,1
74,1085,317,1
75,649,452,1
76,960,234,1
77,66,732,1
78,468,754,1
79,1013,473,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
