### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,84,86,89.9567,0,255,0,0,100,1,1
1,1281,147,-56.0839,0,255,0,0,100,1,1
2,630,89,16.8575,0,255,0,0,100,1,1
3,898,63,-53.0633,0,255,0,0,100,1,1
4,1253,79,3.73417,0,255,0,0,100,1,1
5,1178,713,-38.1683,0,255,0,0,100,1,1
6,655,581,22.3437,0,255,0,0,100,1,1
7,835,69,-81.2945,0,255,0,0,100,1,1
8,503,26,52.8424,0,255,0,0,100,1,1
9,311,592,-141.96,0,255,0,0,100,1,1
10,672,419,79.974,0,255,0,0,100,1,1
11,345,58,-25.8152,0,255,0,0,100,1,1
12,390,540,12.7524,0,255,0,0,100,1,1
13,608,539,27.4049,0,255,0,0,100,1,1
14,321,467,-78.3446,0,255,0,0,100,1,1
15,416,230,-95.6811,0,255,0,0,100,1,1
16,560,185,110.394,0,255,0,0,100,1,1
17,139,187,-49.511,0,255,0,0,100,1,1
18,625,125,-96.5684,0,255,0,0,100,1,1
19,59,705,113.841,0,255,0,0,100,1,1
20,1191,667,135.673,0,255,0,0,100,1,1
21,1117,110,-55.3515,0,255,0,0,100,1,1
22,47,225,-5.48533,0,255,0,0,100,1,1
23,849,35,-135.432,0,255,0,0,100,1,1
24,169,253,27.6176,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,795,703,1
1,878,92,1
2,899,735,1
3,837,239,1
4,650,630,1
5,979,93,1
6,256,637,1
7,522,532,1
8,315,444,1
9,1123,480,1
10,1183,679,1
11,1195,92,1
12,120,334,1
13,1270,512,1
14,329,583,1
15,652,390,1
16,298,745,1
17,594,416,1
18,469,218,1
19,545,346,1
20,129,566,1
21,654,512,1
22,517,738,1
23,1215,457,1
24,741,93,1
25,1109,65,1
26,1246,687,1
27,634,226,1
28,231,109,1
29,758,577,1
30,155,121,1
31,1252,160,1
32,1006,721,1
33,184,226,1
34,429,355,1
35,454,710,1
36,1303,44,1
37,719,168,1
38,55,80,1
39,43,142,1
40,749,427,1
41,454,458,1
42,371,730,1
43,604,72,1
44,1240,336,1
45,1029,462,1
46,138,38,1
47,902,409,1
48,415,43,1
49,1235,578,1
50,250,364,1
51,856,449,1
52,1080,377,1
53,1308,202,1
54,1134,543,1
55,947,543,1
56,1035,53,1
57,74,542,1
58,62,612,1
59,998,226,1
60,664,141,1
61,103,460,1
62,339,666,1
63,201,592,1
64,308,519,1
65,1304,284,1
66,40,366,1
67,1017,640,1
68,1114,714,1
69,93,254,1
70,461,297,1
71,335,141,1
72,1026,137,1
73,331,366,1
74,875,560,1
75,948,660,1
76,172,708,1
77,1059,214,1
78,540,223,1
79,491,133,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
