### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,84,86,90.2813,0,255,0,0,100,1,1
1,471,458,-132.603,0,255,0,0,100,1,1
2,1208,247,-38.865,0,255,0,0,100,1,1
3,1004,77,-167.122,0,255,0,0,100,1,1
4,309,427,-147.693,0,255,0,0,100,1,1
5,743,418,-95.3149,0,255,0,0,100,1,1
6,389,662,107.073,0,255,0,0,100,1,1
7,963,281,78.8219,0,255,0,0,100,1,1
8,811,289,-44.688,0,255,0,0,100,1,1
9,38,279,-119.608,0,255,0,0,100,1,1
10,952,113,-37.8205,0,255,0,0,100,1,1
11,1244,165,96.4785,0,255,0,0,100,1,1
12,145,598,38.8829,0,255,0,0,100,1,1
13,868,124,-138.014,0,255,0,0,100,1,1
14,1109,41,-2.19869,0,255,0,0,100,1,1
15,997,135,-172.643,0,255,0,0,100,1,1
16,915,654,-53.6056,0,255,0,0,100,1,1
17,1178,461,-46.7836,0,255,0,0,100,1,1
18,1258,579,-16.2621,0,255,0,0,100,1,1
19,679,273,76.5338,0,255,0,0,100,1,1
20,656,605,-21.3538,0,255,0,0,100,1,1
21,15,674,-162.589,0,255,0,0,100,1,1
22,1053,708,-155.331,0,255,0,0,100,1,1
23,743,614,-177.441,0,255,0,0,100,1,1
24,846,663,47.6306,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,795,703,1
1,878,92,1
2,320,680,1
3,1243,479,1
4,493,211,1
5,208,347,1
6,244,143,1
7,165,744,1
8,627,692,1
9,1268,658,1
10,1113,118,1
11,876,413,1
12,356,488,1
13,258,509,1
14,1192,97,1
15,219,606,1
16,245,394,1
17,1310,166,1
18,154,385,1
19,671,166,1
20,561,399,1
21,135,244,1
22,681,499,1
23,469,752,1
24,689,340,1
25,1114,317,1
26,595,205,1
27,183,554,1
28,75,54,1
29,707,92,1
30,391,719,1
31,444,469,1
32,1027,129,1
33,1260,326,1
34,704,652,1
35,58,556,1
36,518,716,1
37,46,395,1
38,1159,748,1
39,440,177,1
40,1193,170,1
41,946,261,1
42,465,285,1
43,557,471,1
44,868,541,1
45,183,185,1
46,377,389,1
47,498,405,1
48,319,133,1
49,747,465,1
50,154,65,1
51,127,643,1
52,734,154,1
53,858,260,1
54,294,453,1
55,447,358,1
56,1068,551,1
57,972,687,1
58,1142,473,1
59,1260,750,1
60,864,738,1
61,588,45,1
62,103,447,1
63,252,754,1
64,497,151,1
65,43,254,1
66,1229,561,1
67,82,685,1
68,1056,219,1
69,1161,678,1
70,1037,277,1
71,606,345,1
72,1154,40,1
73,474,71,1
74,728,723,1
75,1047,641,1
76,298,349,1
77,154,305,1
78,997,485,1
79,1246,387,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
