### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,4123,5118,-32.3411,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,4290,4608,1
1,8139,7827,1
2,9466,462,1
3,4789,9218,1
4,276,1997,1
5,1850,3914,1
6,806,5949,1
7,621,4735,1
8,3508,53,1
9,3124,9611,1
10,116,970,1
11,3057,5277,1
12,8220,2035,1
13,2422,2601,1
14,1847,3477,1
15,6409,3839,1
16,4129,195,1
17,2088,738,1
18,3824,9574,1
19,7414,1477,1
20,4138,6876,1
21,1471,5358,1
22,5398,1416,1
23,2798,6540,1
24,4735,1237,1
25,3828,3457,1
26,9119,8480,1
27,871,2668,1
28,7180,454,1
29,6453,1551,1
30,2633,1071,1
31,1673,2539,1
32,2931,5789,1
33,1150,3750,1
34,3287,2822,1
35,4686,5562,1
36,9378,596,1
37,9176,6103,1
38,1301,8493,1
39,3604,6958,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
