### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,717,5396,162,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,5725,8556,1
1,8539,8128,1
2,7117,5687,1
3,7857,969,1
4,6754,7672,1
5,1511,6668,1
6,2417,6584,1
7,3885,3768,1
8,3986,89,1
9,7949,5900,1
10,2833,9392,1
11,5208,739,1
12,3321,4459,1
13,1063,1939,1
14,8808,3626,1
15,5430,5123,1
16,1592,9520,1
17,2635,9776,1
18,5752,7628,1
19,3175,8916,1
20,5096,6269,1
21,6836,580,1
22,2552,3268,1
23,3457,8401,1
24,8481,9778,1
25,8555,3970,1
26,1738,9904,1
27,6998,3711,1
28,2866,4904,1
29,7600,3667,1
30,5981,4951,1
31,3926,2914,1
32,782,8452,1
33,127,7931,1
34,2806,3621,1
35,1887,9905,1
36,1882,7578,1
37,8868,5478,1
38,9414,1952,1
39,9870,1349,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
