### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,4939,3865,132.143,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,2680,432,1
1,7798,5213,1
2,5404,5366,1
3,9207,8866,1
4,7185,4271,1
5,4083,1301,1
6,3617,6419,1
7,9358,6946,1
8,9534,4229,1
9,189,820,1
10,8907,7637,1
11,5562,2005,1
12,1497,5535,1
13,5731,6717,1
14,6088,3100,1
15,8246,1823,1
16,1022,5166,1
17,7706,8713,1
18,7522,4425,1
19,5552,465,1
20,9860,1034,1
21,2878,6373,1
22,5453,194,1
23,8426,2204,1
24,643,1270,1
25,5204,4387,1
26,5880,5777,1
27,1136,1365,1
28,4038,5883,1
29,7096,2427,1
30,3053,5148,1
31,1738,9167,1
32,7840,6539,1
33,3596,7309,1
34,6759,1395,1
35,3725,4993,1
36,4295,2462,1
37,6566,430,1
38,135,687,1
39,4338,9619,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
